,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
446,aclu/elections-api/congress_legislator:855,Chris Collins,Chris Collins,Republican,27,NY,rep,27,3627
447,aclu/elections-api/congress_legislator:864,,John J. Faso,Republican,19,NY,rep,19,3619
448,aclu/elections-api/congress_legislator:11575,Joseph Morelle,Joseph D. Morelle,Democrat,25,NY,rep,25,3625
449,aclu/elections-api/congress_legislator:677,Michael K. Simpson,Michael K. Simpson,Republican,2,ID,rep,2,1602
450,aclu/elections-api/congress_legislator:678,Raul Labrador,Raúl R. Labrador,Republican,1,ID,rep,1,1601
451,aclu/elections-api/congress_legislator:11538,,Russ Fulcher,Republican,1,ID,rep,1,1601
452,aclu/elections-api/congress_legislator:886,Marcia L. Fudge,Marcia L. Fudge,Democrat,11,OH,rep,11,3911
453,aclu/elections-api/congress_legislator:883,Jim Renacci,James B. Renacci,Republican,16,OH,rep,16,3916
454,aclu/elections-api/congress_legislator:888,Michael R. Turner,Michael R. Turner,Republican,10,OH,rep,10,3910
455,aclu/elections-api/congress_legislator:11514,Troy Balderson,Troy Balderson,Republican,12,OH,rep,12,3912
456,aclu/elections-api/congress_legislator:889,Robert E. Latta,Robert E. Latta,Republican,5,OH,rep,5,3905
457,aclu/elections-api/congress_legislator:881,Brad Wenstrup,Brad R. Wenstrup,Republican,2,OH,rep,2,3902
458,aclu/elections-api/congress_legislator:882,David Joyce,David P. Joyce,Republican,14,OH,rep,14,3914
459,aclu/elections-api/congress_legislator:893,Steve Stivers,Steve Stivers,Republican,15,OH,rep,15,3915
460,aclu/elections-api/congress_legislator:884,Jim Jordan,Jim Jordan,Republican,4,OH,rep,4,3904
461,aclu/elections-api/congress_legislator:885,Joyce Beatty,Joyce Beatty,Democrat,3,OH,rep,3,3903
462,aclu/elections-api/congress_legislator:879,Bill Johnson (Ohio),Bill Johnson,Republican,6,OH,rep,6,3906
463,aclu/elections-api/congress_legislator:887,,Marcy Kaptur,Democrat,9,OH,rep,9,3909
464,aclu/elections-api/congress_legislator:11577,,Anthony Gonzalez,Republican,16,OH,rep,16,3916
465,aclu/elections-api/congress_legislator:880,Bob Gibbs,Bob Gibbs,Republican,7,OH,rep,7,3907
466,aclu/elections-api/congress_legislator:892,Steve Chabot,Steve Chabot,Republican,1,OH,rep,1,3901
467,aclu/elections-api/congress_legislator:894,Tim Ryan (Ohio),Tim Ryan,Democrat,13,OH,rep,13,3913
468,aclu/elections-api/congress_legislator:895,Warren Davidson,Warren Davidson,Republican,8,OH,rep,8,3908
469,aclu/elections-api/congress_legislator:908,Suzanne Bonamici,Suzanne Bonamici,Democrat,1,OR,rep,1,4101
470,aclu/elections-api/congress_legislator:903,Greg Walden,Greg Walden,Republican,2,OR,rep,2,4102
471,aclu/elections-api/congress_legislator:905,Kurt Schrader,Kurt Schrader,Democrat,5,OR,rep,5,4105
472,aclu/elections-api/congress_legislator:902,Earl Blumenauer,Earl Blumenauer,Democrat,3,OR,rep,3,4103
473,aclu/elections-api/congress_legislator:906,Peter DeFazio,Peter A. DeFazio,Democrat,4,OR,rep,4,4104
474,aclu/elections-api/congress_legislator:692,Peter Roskam,Peter J. Roskam,Republican,6,IL,rep,6,1706
475,aclu/elections-api/congress_legislator:682,Brad Schneider,Bradley Scott Schneider,Democrat,10,IL,rep,10,1710
