aclu_id,official_name,party,district,state,legislator_type,congressional_district
aclu/elections-api/congress_legislator:893,Steve Stivers,Republican,15,OH,rep,3915
aclu/elections-api/congress_legislator:884,Jim Jordan,Republican,4,OH,rep,3904
aclu/elections-api/congress_legislator:885,Joyce Beatty,Democrat,3,OH,rep,3903
aclu/elections-api/congress_legislator:879,Bill Johnson,Republican,6,OH,rep,3906
aclu/elections-api/congress_legislator:887,Marcy Kaptur,Democrat,9,OH,rep,3909
aclu/elections-api/congress_legislator:11577,Anthony Gonzalez,Republican,16,OH,rep,3916
aclu/elections-api/congress_legislator:880,Bob Gibbs,Republican,7,OH,rep,3907
aclu/elections-api/congress_legislator:892,Steve Chabot,Republican,1,OH,rep,3901
aclu/elections-api/congress_legislator:894,Tim Ryan,Democrat,13,OH,rep,3913
aclu/elections-api/congress_legislator:895,Warren Davidson,Republican,8,OH,rep,3908
aclu/elections-api/congress_legislator:908,Suzanne Bonamici,Democrat,1,OR,rep,4101
aclu/elections-api/congress_legislator:903,Greg Walden,Republican,2,OR,rep,4102
aclu/elections-api/congress_legislator:11671,Cliff Bentz,Republican,2,OR,rep,4102
aclu/elections-api/congress_legislator:905,Kurt Schrader,Democrat,5,OR,rep,4105
aclu/elections-api/congress_legislator:902,Earl Blumenauer,Democrat,3,OR,rep,4103
aclu/elections-api/congress_legislator:906,Peter A. DeFazio,Democrat,4,OR,rep,4104
aclu/elections-api/congress_legislator:692,Peter J. Roskam,Republican,6,IL,rep,1706
aclu/elections-api/congress_legislator:682,Bradley Scott Schneider,Democrat,10,IL,rep,1710
aclu/elections-api/congress_legislator:693,Raja Krishnamoorthi,Democrat,8,IL,rep,1708
aclu/elections-api/congress_legislator:11649,Mary E. Miller,Republican,15,IL,rep,1715
aclu/elections-api/congress_legislator:696,Robin L. Kelly,Democrat,2,IL,rep,1702
aclu/elections-api/congress_legislator:679,Adam Kinzinger,Republican,16,IL,rep,1716
aclu/elections-api/congress_legislator:694,Randy Hultgren,Republican,14,IL,rep,1714
aclu/elections-api/congress_legislator:683,Cheri Bustos,Democrat,17,IL,rep,1717
aclu/elections-api/congress_legislator:691,Mike Quigley,Democrat,5,IL,rep,1705
aclu/elections-api/congress_legislator:11539,"Jesús G. ""Chuy"" García",Democrat,4,IL,rep,1704
aclu/elections-api/congress_legislator:686,Darin LaHood,Republican,18,IL,rep,1718
aclu/elections-api/congress_legislator:681,Bobby L. Rush,Democrat,1,IL,rep,1701
aclu/elections-api/congress_legislator:689,Luis V. Gutiérrez,Democrat,4,IL,rep,1704
aclu/elections-api/congress_legislator:684,Daniel Lipinski,Democrat,3,IL,rep,1703
aclu/elections-api/congress_legislator:690,Mike Bost,Republican,12,IL,rep,1712
aclu/elections-api/congress_legislator:11540,Lauren Underwood,Democrat,14,IL,rep,1714
